✏︎: first byte: -30 | last byte: -114  | length 6
✂︎: first byte: -30 | last byte: -114  | length 6
✁︎: first byte: -30 | last byte: -114  | length 6
👓︎: first byte: -16 | last byte: -114  | length 7
🕭︎: first byte: -16 | last byte: -114  | length 7
🕮︎: first byte: -16 | last byte: -114  | length 7
🕯︎: first byte: -16 | last byte: -114  | length 7
🕿︎: first byte: -16 | last byte: -114  | length 7
✆︎: first byte: -30 | last byte: -114  | length 6
🖂︎: first byte: -16 | last byte: -114  | length 7
🖃︎: first byte: -16 | last byte: -114  | length 7
📪︎: first byte: -16 | last byte: -114  | length 7
📫︎: first byte: -16 | last byte: -114  | length 7
📬︎: first byte: -16 | last byte: -114  | length 7
📭︎: first byte: -16 | last byte: -114  | length 7
📁︎: first byte: -16 | last byte: -114  | length 7
📂︎: first byte: -16 | last byte: -114  | length 7
📄︎: first byte: -16 | last byte: -114  | length 7
🗏︎: first byte: -16 | last byte: -114  | length 7
🗐︎: first byte: -16 | last byte: -114  | length 7
🗄︎: first byte: -16 | last byte: -114  | length 7
⌛︎: first byte: -30 | last byte: -114  | length 6
🖮︎: first byte: -16 | last byte: -114  | length 7
🖰︎: first byte: -16 | last byte: -114  | length 7
🖲︎: first byte: -16 | last byte: -114  | length 7
🖳︎: first byte: -16 | last byte: -114  | length 7
🖴︎: first byte: -16 | last byte: -114  | length 7
🖫︎: first byte: -16 | last byte: -114  | length 7
🖬︎: first byte: -16 | last byte: -114  | length 7
✇︎: first byte: -30 | last byte: -114  | length 6
✍︎: first byte: -30 | last byte: -114  | length 6
@: 
✌︎: first byte: -30 | last byte: -114  | length 6
👌︎: first byte: -16 | last byte: -114  | length 7
👍︎: first byte: -16 | last byte: -114  | length 7
👎︎: first byte: -16 | last byte: -114  | length 7
☜︎: first byte: -30 | last byte: -114  | length 6
☞︎: first byte: -30 | last byte: -114  | length 6
☝︎: first byte: -30 | last byte: -114  | length 6
☟︎: first byte: -30 | last byte: -114  | length 6
✋︎: first byte: -30 | last byte: -114  | length 6
☺︎: first byte: -30 | last byte: -114  | length 6
😐︎: first byte: -16 | last byte: -114  | length 7
☹︎: first byte: -30 | last byte: -114  | length 6
💣︎: first byte: -16 | last byte: -114  | length 7
☠︎: first byte: -30 | last byte: -114  | length 6
⚐︎: first byte: -30 | last byte: -114  | length 6
🏱︎: first byte: -16 | last byte: -114  | length 7
✈︎: first byte: -30 | last byte: -114  | length 6
☼︎: first byte: -30 | last byte: -114  | length 6
💧︎: first byte: -16 | last byte: -114  | length 7
❄︎: first byte: -30 | last byte: -114  | length 6
🕆︎: first byte: -16 | last byte: -114  | length 7
✞︎: first byte: -30 | last byte: -114  | length 6
🕈︎: first byte: -16 | last byte: -114  | length 7
✠︎: first byte: -30 | last byte: -114  | length 6
✡︎: first byte: -30 | last byte: -114  | length 6
☪︎: first byte: -30 | last byte: -114  | length 6
☯︎: first byte: -30 | last byte: -114  | length 6
ॐ︎: first byte: -32 | last byte: -114  | length 6
☸︎: first byte: -30 | last byte: -114  | length 6
☸︎: first byte: -30 | last byte: -114  | length 6
♈︎: first byte: -30 | last byte: -114  | length 6
♉︎: first byte: -30 | last byte: -114  | length 6
♋︎: first byte: -30 | last byte: -114  | length 6
♌︎: first byte: -30 | last byte: -114  | length 6
♍︎: first byte: -30 | last byte: -114  | length 6
♎︎: first byte: -30 | last byte: -114  | length 6
♏︎: first byte: -30 | last byte: -114  | length 6
♐︎: first byte: -30 | last byte: -114  | length 6
♑︎: first byte: -30 | last byte: -114  | length 6
♒︎: first byte: -30 | last byte: -114  | length 6
♓︎: first byte: -30 | last byte: -114  | length 6
🙰: first byte: -16 | last byte: -80  | length 4
🙵: first byte: -16 | last byte: -75  | length 4
●︎: first byte: -30 | last byte: -114  | length 6
❍︎: first byte: -30 | last byte: -114  | length 6
■︎: first byte: -30 | last byte: -114  | length 6
□︎: first byte: -30 | last byte: -114  | length 6
◻︎: first byte: -30 | last byte: -114  | length 6
❑︎: first byte: -30 | last byte: -114  | length 6
❒︎: first byte: -30 | last byte: -114  | length 6
⬧︎: first byte: -30 | last byte: -114  | length 6
⧫︎: first byte: -30 | last byte: -114  | length 6
◆︎: first byte: -30 | last byte: -114  | length 6
❖︎: first byte: -30 | last byte: -114  | length 6
⬥︎: first byte: -30 | last byte: -114  | length 6
⌧︎: first byte: -30 | last byte: -114  | length 6
⍓︎: first byte: -30 | last byte: -114  | length 6
⌘︎: first byte: -30 | last byte: -114  | length 6
❀︎: first byte: -30 | last byte: -114  | length 6
✿︎: first byte: -30 | last byte: -114  | length 6
❝︎: first byte: -30 | last byte: -114  | length 6
❞︎: first byte: -30 | last byte: -114  | length 6
